n,operations,time
60000,1003940909,9.291
60000,1002066606,9.272
60000,1007144621,9.313
62500,1092239095,10.016
62500,1091059104,10.093
62500,1088985992,10.082
62500,1089764943,10.063
62500,1087864189,10.039
62500,1091163701,9.705
62500,1088386423,10.018
62500,1091653591,10.05
62500,1093286820,10.032
62500,1091846035,10.042
65000,1184300088,10.926
65000,1184030625,10.913
65000,1183197351,10.909
65000,1180854752,10.902
65000,1179490069,10.869
65000,1179630000,10.883
65000,1183966153,10.911
65000,1182744551,10.8
65000,1182239133,10.863
65000,1179594315,10.876
67500,1274462901,11.763
67500,1277634186,11.657
67500,1275149443,11.742
67500,1275390485,11.763
67500,1279147524,11.801
67500,1282726709,11.83
67500,1274700145,11.735
67500,1275033489,11.711
67500,1274138598,11.744
67500,1276730159,11.721
70000,1367707280,12.548
70000,1371622499,12.641
70000,1370800661,12.651
70000,1369235855,12.472
70000,1373829838,12.672
70000,1372500975,12.647
70000,1377115843,12.683
70000,1366780803,12.579
70000,1372073760,12.653
70000,1375490968,12.685
72500,1468946502,13.564
72500,1462670091,13.498
72500,1464355185,13.518
72500,1468838524,13.538
72500,1469791343,13.557
72500,1469885615,13.279
72500,1459411948,13.034
72500,1469496561,13.176
72500,1466070296,13.508
72500,1460713076,13.463
75000,1561647759,14.501
75000,1567165882,14.442
75000,1568185586,14.461
75000,1567006003,14.418
75000,1564045368,14.396
75000,1572597078,14.38
75000,1566616111,14.502
75000,1564157834,14.248
75000,1563171738,14.048
75000,1573632158,14.477
