n,operations,time
5000,6229135,0.062
5000,6373426,0.054
5000,6330941,0.062
5000,6289741,0.054
5000,6253252,0.068
5000,6397240,0.047
5000,6165747,0.053
5000,6317607,0.047
5000,6199870,0.053
5000,6308097,0.047
7500,14275867,0.129
7500,14208491,0.121
7500,14306889,0.131
7500,14341977,0.123
7500,14291595,0.116
7500,14394102,0.132
7500,14186441,0.146
7500,14288384,0.126
7500,14303424,0.131
7500,14393258,0.132
10000,25335902,0.236
10000,25866085,0.238
10000,25531222,0.237
10000,25632948,0.231
10000,25508096,0.237
10000,25231763,0.23
10000,25815560,0.239
10000,25539835,0.231
10000,25450015,0.235
10000,25727593,0.238
12500,40160876,0.371
12500,39905195,0.359
12500,39944480,0.356
12500,39470685,0.365
12500,39797809,0.369
12500,39987618,0.371
12500,40113198,0.357
12500,39911932,0.354
12500,40305223,0.363
12500,40310752,0.368
15000,58064151,0.536
15000,58463733,0.528
15000,57847298,0.527
15000,58035320,0.537
15000,57732165,0.533
15000,58115768,0.537
15000,58549765,0.542
15000,58556550,0.537
15000,58630716,0.532
15000,58360968,0.538
17500,78676291,0.725
17500,79048935,0.729
17500,78558003,0.726
17500,78266189,0.701
17500,79363489,0.731
17500,78528977,0.723
17500,78352698,0.701
17500,78803123,0.725
17500,79363411,0.732
17500,78211543,0.719
20000,103933425,0.934
20000,103587768,0.955
20000,103979666,0.931
20000,103547742,0.949
20000,103953771,0.943
20000,103655431,0.956
20000,104187121,0.962
20000,103211376,0.952
20000,103264615,0.95
20000,103751083,0.954
22500,132793048,1.224
22500,133022403,1.185
22500,133270968,1.227
22500,131986416,1.197
22500,132944031,1.226
22500,132462632,1.214
22500,133412313,1.221
22500,132887109,1.202
22500,132413942,1.202
22500,133603378,1.19
25000,165733675,1.529
25000,163750884,1.509
25000,166221063,1.527
25000,165186816,1.516
25000,164136655,1.514
25000,164958146,1.52
25000,165669967,1.527
25000,165433854,1.524
25000,165160408,1.521
25000,164693775,1.517
27500,199694832,1.844
27500,199619956,1.83
27500,200000298,1.844
27500,199801113,1.779
27500,200130139,1.828
27500,200930738,1.854
27500,200844678,1.852
27500,200284556,1.834
27500,199024293,1.832
27500,200107293,1.838
30000,236739648,2.185
30000,237301760,2.182
30000,237305927,2.186
30000,238061199,2.193
30000,236539482,2.18
30000,237552379,2.172
30000,237593767,2.181
30000,235051275,2.123
30000,237436287,2.182
30000,237773710,2.192
32500,273605392,2.516
32500,274659576,2.524
32500,274548501,2.44
32500,276231698,2.452
32500,274732099,2.527
32500,275135465,2.527
32500,276240504,2.523
32500,275025378,2.536
32500,275744245,2.542
32500,275168263,2.513
35000,319065010,2.938
35000,317279027,2.922
35000,318191691,2.935
35000,317181071,2.94
35000,315835782,2.927
35000,317009070,2.932
35000,317832832,2.933
35000,316149083,2.923
35000,317967775,2.928
35000,316138873,2.914
37500,363380211,3.352
37500,363720785,3.347
37500,364196132,3.346
37500,363852229,3.352
37500,364444389,3.356
37500,364814754,3.358
37500,364843200,3.355
37500,364755608,3.356
37500,368421995,3.385
37500,364699062,3.353
40000,419717144,3.88
40000,419088002,3.868
40000,419522228,3.875
40000,418290188,3.876
40000,417875729,3.846
40000,416415434,3.777
40000,419342747,3.777
40000,418360619,3.843
40000,418596025,3.846
40000,418517567,3.798
42500,478444285,4.437
42500,477191327,4.431
42500,476738434,4.381
42500,478175052,4.411
42500,475607735,4.393
42500,476727064,4.402
42500,479391158,4.409
42500,478989385,4.418
42500,475884757,4.385
42500,476227639,4.378
45000,540109089,4.983
45000,540800683,4.992
45000,538970730,4.959
45000,538944408,4.963
45000,541532800,4.964
45000,541446855,4.994
45000,538769155,4.94
45000,542951254,5.001
45000,541523380,4.995
45000,541558455,4.996
47500,609344303,5.512
47500,607667162,5.598
47500,610792084,5.631
47500,610397206,5.622
47500,609194864,5.617
47500,606695503,5.598
47500,606306383,5.634
47500,609024630,5.593
47500,606318884,5.635
47500,608691505,5.627
50000,679709851,6.278
50000,683948673,6.317
50000,678852526,6.259
50000,679082558,6.267
50000,680425884,6.262
50000,679796946,6.272
50000,677685439,6.244
50000,679774468,6.26
50000,681203784,6.275
50000,679767680,6.269
52500,754844018,6.953
52500,760445863,7.005
52500,755888662,6.967
52500,755131902,6.745
52500,754050769,6.857
52500,755459710,6.873
52500,754389613,6.994
52500,761463473,7.041
52500,755498039,6.954
52500,755804569,6.76
55000,837795900,7.737
55000,836127590,7.735
55000,833663281,7.676
55000,836624789,7.72
55000,835510060,7.701
55000,837745976,7.683
55000,830570132,7.645
55000,836605834,7.729
55000,835267308,7.64
55000,832921758,7.687
57500,919038451,8.416
57500,919634073,8.484
57500,914212636,8.439
57500,917278192,8.348
57500,916000464,8.457
57500,910251632,8.398
57500,920667030,8.495
57500,922400928,8.499
57500,917329348,8.447
57500,919791617,8.489
60000,1002284509,9.129
60000,1001722108,9.137
60000,1003991023,9.256
60000,1003587957,9.246
60000,1002451129,9.239
60000,1004405088,9.268
60000,998655795,9.244
